Time	WaterLevel_cm
2021090909	71.114100
2021090910	85.055300
2021090911	77.943900
2021090912	74.282500
2021090913	72.944800
2021090914	73.156000
2021090915	73.226400
2021090916	75.338700
2021090917	74.282500
2021090918	77.521400
2021090919	79.352100
2021090920	81.886800
2021090921	81.394000
2021090922	83.013400
2021090923	86.533900
2021091000	86.041000
2021091001	85.618600
2021091002	85.829800
2021091003	85.407300
2021091004	86.533900
2021091005	88.505400
2021091006	90.124800
2021091007	90.758500
2021091008	89.984000
2021091009	88.646200
2021091010	87.167600
2021091011	85.336900
2021091012	82.098100
2021091013	81.112300
2021091014	79.352100
2021091015	78.929600
2021091016	80.056200
2021091017	82.027600
2021091018	84.562400
2021091019	87.238000
2021091020	88.294100
2021091021	91.603400
2021091022	94.701500
2021091023	93.011600
2021091100	93.504500
2021091101	93.645300
2021091102	93.363700
2021091103	92.448300
2021091104	93.222800
2021091105	94.138200
2021091106	92.870800
2021091107	92.589200
2021091108	91.955500
2021091109	89.631900
2021091110	87.378800
2021091111	84.351200
2021091112	82.238900
2021091113	79.633700
2021091114	76.817300
2021091115	75.972400
2021091116	76.254000
2021091117	77.310200
2021091118	82.168500
2021091119	85.407300
2021091120	86.322700
2021091121	87.871700
2021091122	86.956400
2021091123	87.660500
2021091200	87.590000
2021091201	87.871700
2021091202	87.801300
2021091203	87.871700
2021091204	87.942100
2021091205	88.153300
2021091206	89.068600
2021091207	89.139100
2021091208	88.575800
2021091209	87.238000
2021091210	84.984900
2021091211	81.605200
2021091212	78.577600
2021091213	75.902000
2021091214	74.705000
2021091215	72.522300
2021091216	74.000900
2021091217	75.902000
2021091218	78.929600
2021091219	81.675600
2021091220	84.140000
2021091221	85.196100
2021091222	85.055300
2021091223	86.111400
2021091300	86.252300
2021091301	86.463500
2021091302	85.548200
2021091303	85.548200
2021091304	84.351200
2021091305	83.506300
2021091306	82.943000
2021091307	82.027600
2021091308	81.957200
2021091309	80.971500
2021091310	78.507200
2021091311	76.676500
2021091312	74.000900
2021091313	71.325300
2021091314	68.508900
2021091315	67.734400
2021091316	68.016100
2021091317	69.565100
2021091318	73.437600
2021091319	76.958100
2021091320	78.859200
2021091321	81.182700
2021091322	83.506300
2021091323	84.351200
2021091400	84.632800
2021091401	84.562400
2021091402	84.773600
2021091403	84.562400
2021091404	84.280800
2021091405	84.069500
2021091406	83.787900
2021091407	82.872600
2021091408	81.957200
2021091409	80.971500
2021091410	81.394000
2021091411	78.718400
2021091412	76.183600
2021091413	74.000900
2021091414	72.663100
2021091415	71.607000
2021091416	71.888600
2021091417	73.930500
2021091418	78.084700
2021091419	80.760300
2021091420	83.083800
2021091421	84.562400
2021091422	86.604300
2021091423	88.223700
2021091500	89.139100
2021091501	89.420700
2021091502	89.491100
2021091503	89.491100
2021091504	89.209500
2021091505	89.279900
2021091506	89.491100
2021091507	89.139100
2021091508	88.716600
2021091509	87.097200
2021091510	85.829800
2021091511	85.266500
2021091512	84.280800
2021091513	83.154200
2021091514	82.379700
2021091515	83.224600
2021091517	88.575800
2021091518	92.589200
2021091519	95.476000
2021091520	98.010700
2021091521	100.264000
2021091522	102.658000
2021091523	105.404000
2021091600	108.291000
2021091601	110.614000
2021091602	111.741000
2021091603	112.515000
2021091604	112.938000
2021091605	113.078000
2021091606	113.219000
2021091607	112.234000
2021091608	110.966000
2021091609	108.854000
2021091610	107.164000
2021091611	105.897000
2021091612	104.700000
2021091613	103.010000
2021091614	101.954000
2021091615	102.235000
2021091616	102.587000
2021091617	103.573000
2021091618	105.897000
2021091619	107.657000
2021091620	109.135000
2021091621	109.840000
2021091622	108.009000
2021091623	110.685000
2021091700	113.149000
2021091701	114.980000
2021091702	116.247000
2021091703	114.627000
2021091704	114.416000
2021091705	112.867000
2021091706	112.797000
2021091707	111.529000
2021091708	109.276000
2021091709	106.953000
2021091710	99.630100
2021091711	97.517800
2021091712	96.320900
2021091713	94.912700
2021091714	93.786100
2021091715	93.645300
2021091716	93.504500
2021091717	95.405600
2021091718	98.362800
2021091719	99.278100
2021091720	98.855600
2021091721	99.911800
2021091722	102.165000
2021091723	104.911000
2021091800	106.601000
2021091801	108.150000
2021091802	109.699000
2021091803	110.473000
2021091804	112.163000
2021091805	112.938000
2021091806	113.078000
2021091807	111.389000
2021091808	108.924000
2021091809	106.178000
2021091810	103.573000
2021091811	101.038000
2021091812	99.278100
2021091813	99.559700
2021091814	97.729100
2021091815	97.236200
2021091816	98.221900
2021091817	98.996500
2021091818	100.405000
2021091819	100.827000
2021091820	101.109000
2021091821	101.250000
2021091822	102.235000
2021091823	102.869000
2021091900	103.432000
2021091901	104.136000
2021091902	104.770000
2021091903	105.545000
2021091904	106.530000
2021091905	107.798000
2021091906	108.854000
2021091907	107.234000
2021091908	105.263000
2021091909	103.221000
2021091910	101.250000
2021091911	98.996500
2021091912	96.461700
2021091913	94.631000
2021091914	93.152400
2021091915	92.096300
2021091916	91.251400
2021091917	92.377900
2021091918	95.476000
2021091919	96.602500
2021091920	97.306600
2021091921	98.503600
2021091922	97.588300
2021091923	96.954600
2021092000	98.644400
2021092001	100.475000
2021092002	102.024000
2021092003	102.869000
2021092004	103.925000
2021092005	105.052000
2021092006	106.601000
2021092007	105.122000
2021092008	102.376000
2021092009	99.418900
2021092010	96.461700
2021092011	93.645300
2021092012	90.828900
2021092013	88.857400
2021092014	87.308400
2021092015	86.885900
2021092016	86.604300
2021092017	87.660500
2021092018	92.448300
2021092019	96.039200
2021092020	97.377000
2021092021	97.236200
2021092022	97.377000
2021092023	97.658700
2021092100	98.010700
2021092101	100.123000
2021092102	102.095000
2021092103	103.714000
2021092104	104.840000
2021092105	106.460000
2021092106	107.939000
2021092107	107.657000
2021092108	104.207000
2021092109	100.686000
2021092110	97.095400
2021092111	93.574900
2021092112	90.476800
2021092113	88.364500
2021092114	87.097200
2021092115	86.463500
2021092116	86.393100
2021092117	88.294100
2021092118	92.096300
2021092119	95.194300
2021092120	96.320900
2021092121	95.687200
2021092122	95.476000
2021092123	94.912700
2021092200	95.194300
2021092201	95.546400
2021092202	96.954600
2021092203	98.010700
2021092204	98.362800
2021092205	99.700600
2021092206	101.742000
2021092207	101.320000
2021092208	98.292400
2021092209	95.194300
2021092210	92.870800
2021092211	90.688100
2021092212	88.998200
2021092213	87.519600
2021092214	86.815500
2021092215	86.745100
2021092216	86.604300
2021092217	85.407300
2021092218	88.012500
2021092219	89.279900
2021092220	89.913600
2021092221	90.547300
2021092222	89.984000
2021092223	89.068600
2021092300	87.660500
2021092301	87.871700
2021092302	88.435000
2021092303	89.350300
2021092304	89.209500
2021092305	90.828900
2021092306	92.166700
2021092307	91.814600
2021092308	90.195200
2021092309	87.238000
2021092310	84.351200
2021092311	80.971500
2021092312	78.225500
2021092313	75.690800
2021092314	73.367200
2021092315	72.381500
2021092316	73.226400
2021092317	76.042800
2021092318	80.971500
2021092319	82.872600
2021092320	83.717500
2021092321	85.336900
2021092322	85.900200
2021092323	86.956400
2021092400	88.082900
2021092401	88.294100
2021092402	86.885900
2021092403	88.082900
2021092404	88.927800
2021092405	90.476800
2021092406	91.673800
2021092407	90.758500
2021092408	87.942100
2021092409	85.548200
2021092410	82.168500
2021092411	78.577600
2021092412	75.268300
2021092413	68.931400
2021092416	68.790600
2021092417	71.254900
2021092418	75.197900
2021092419	77.662200
2021092420	79.774500
2021092421	81.534800
2021092422	82.168500
2021092423	82.731700
2021092500	82.802200
2021092501	82.802200
2021092502	82.943000
2021092503	83.295000
2021092504	84.632800
2021092505	86.393100
2021092506	88.223700
2021092507	88.927800
2021092508	88.082900
2021092509	86.815500
2021092510	86.041000
2021092511	83.928700
2021092512	82.450100
2021092513	80.549000
2021092514	75.620300
2021092515	74.986700
2021092516	75.690800
2021092517	79.211300
2021092518	82.027600
2021092519	84.210400
2021092520	86.041000
2021092521	87.590000
2021092522	85.689000
2021092523	87.871700
2021092600	89.139100
2021092601	89.984000
2021092602	90.476800
2021092603	90.758500
2021092604	89.702300
2021092605	87.730900
2021092606	88.787000
2021092607	89.139100
2021092608	87.942100
2021092609	85.970600
2021092610	85.125700
2021092611	83.858300
2021092612	82.802200
2021092613	80.549000
2021092614	78.084700
2021092615	76.113200
2021092616	76.746900
2021092617	78.929600
2021092618	83.295000
2021092619	85.477700
2021092620	88.364500
2021092621	89.913600
2021092622	91.321800
2021092623	91.040100
2021092700	91.955500
2021092701	91.603400
2021092702	91.814600
2021092703	89.984000
2021092704	90.124800
2021092705	89.984000
2021092706	87.167600
2021092707	86.674700
2021092708	86.041000
2021092709	85.055300
2021092710	84.210400
2021092711	83.154200
2021092712	81.394000
2021092713	79.422500
2021092714	77.521400
2021092715	76.958100
2021092716	77.310200
2021092717	79.281700
2021092718	82.098100
2021092719	83.787900
2021092720	84.844100
2021092721	86.393100
2021092722	88.223700
2021092723	89.279900
2021092800	89.772700
2021092801	90.336000
2021092802	90.265600
2021092803	89.350300
2021092804	89.350300
2021092805	89.068600
2021092806	87.942100
2021092807	88.505400
2021092808	87.730900
2021092809	86.393100
2021092810	85.196100
2021092811	83.647100
2021092812	80.619400
2021092813	78.155100
2021092814	76.324400
2021092815	74.634600
2021092816	74.986700
2021092817	75.761200
2021092818	79.000000
2021092819	80.830700
2021092820	82.872600
2021092821	85.266500
2021092822	86.674700
2021092823	88.505400
2021092900	88.787000
2021092901	88.364500
2021092902	85.689000
2021092903	86.393100
2021092904	87.026800
2021092905	88.435000
2021092906	86.463500
2021092907	85.336900
2021092908	82.661300
2021092909	80.549000
2021092910	79.000000
2021092911	77.591800
2021092912	75.549900
2021092913	73.719300
2021092914	71.818200
2021092915	71.184500
2021092916	71.043700
2021092917	72.451900
2021092918	75.197900
2021092919	77.803100
2021092920	79.844900
2021092921	82.731700
2021092922	84.703200
2021092923	85.900200
2021093000	86.463500
2021093001	85.618600
2021093002	84.844100
2021093003	86.393100
2021093004	85.055300
2021093005	85.055300
2021093006	85.548200
2021093007	85.196100
2021093008	81.323500
2021093009	78.859200
2021093010	77.169400
2021093011	75.409100
2021093012	73.648900
2021093013	72.240700
2021093014	70.832500
2021093015	69.142600
2021093016	68.438500
2021093017	70.198800
2021093018	75.902000
2021093019	77.521400
2021093020	79.563300
2021093021	79.633700
2021093022	81.394000
2021093023	82.802200
2021100100	83.999100
2021100101	84.914500
2021100102	83.928700
2021100103	83.576700
2021100104	84.562400
2021100105	84.844100
2021100106	85.196100
2021100107	84.069500
2021100108	79.915300
2021100109	74.000900
2021100110	71.888600
2021100111	69.494700
2021100112	68.086500
2021100113	65.903800
2021100114	64.847600
2021100115	64.354700
2021100116	64.777200
2021100117	65.692500
2021100118	70.410000
2021100119	74.071300
2021100120	74.986700
2021100121	76.746900
2021100122	78.507200
2021100123	80.267400
2021100200	81.816400
2021100201	82.872600
2021100202	83.365400
2021100203	84.140000
2021100204	83.224600
2021100205	83.787900
2021100206	82.661300
2021100207	82.098100
2021100208	78.507200
2021100209	74.423400
2021100210	71.466100
2021100211	68.227300
2021100212	66.537400
2021100213	65.129300
2021100214	63.932300
2021100215	63.650600
2021100216	63.228200
2021100217	65.692500
2021100218	70.198800
2021100219	73.719300
2021100220	74.845800
2021100221	75.268300
2021100222	77.099000
2021100223	78.648000
2021100300	79.352100
2021100301	80.830700
2021100302	82.027600
2021100303	82.379700
2021100304	82.450100
2021100305	82.379700
2021100306	82.098100
2021100307	81.394000
2021100308	77.591800
2021100309	74.845800
2021100310	71.818200
2021100311	68.508900
2021100312	66.678300
2021100313	64.143500
2021100314	63.087400
2021100315	63.298600
2021100316	63.016900
2021100317	64.918000
2021100318	69.424300
2021100319	72.099800
2021100320	72.522300
2021100321	73.648900
2021100322	73.648900
2021100323	74.845800
2021100400	75.831600
2021100401	76.465300
2021100402	78.014300
2021100403	79.492900
2021100404	79.774500
2021100405	80.337800
2021100406	80.408200
2021100407	79.704100
2021100408	76.113200
2021100409	72.592700
2021100410	68.649800
2021100411	64.706800
2021100412	61.608800
2021100413	59.426000
2021100414	62.172000
2021100415	66.326200
2021100416	72.733500
2021100417	75.549900
2021100418	76.676500
2021100419	74.141700
2021100420	70.832500
2021100421	68.368100
2021100422	67.523200
2021100423	66.396600
2021100500	67.593600
2021100501	75.761200
2021100502	84.280800
2021100503	92.237100
2021100504	97.588300
2021100505	96.180100
2021100506	92.659600
2021100507	87.378800
2021100508	81.323500
2021100509	75.972400
2021100510	72.451900
2021100511	69.917100
2021100512	68.086500
2021100513	67.171100
2021100514	71.607000
2021100515	80.056200
2021100516	90.265600
2021100517	94.419800
2021100518	92.730000
2021100519	88.927800
2021100520	85.196100
2021100521	82.098100
2021100522	80.126600
2021100523	78.859200
2021100600	79.633700
2021100601	82.027600
2021100602	87.801300
2021100603	94.349400
2021100604	99.982200
2021100605	102.095000
2021100606	99.489300
2021100607	94.349400
2021100608	85.618600
2021100609	79.140800
2021100610	76.606100
2021100611	75.620300
2021100612	72.311100
2021100613	70.128400
2021100614	76.535700
2021100615	83.295000
2021100616	92.941200
2021100617	100.757000
2021100618	100.123000
2021100619	95.687200
2021100620	90.899300
2021100621	85.829800
2021100622	83.717500
2021100623	82.098100
2021100700	80.126600
2021100701	79.281700
2021100702	80.056200
2021100703	88.364500
2021100704	95.123900
2021100705	100.898000
2021100706	101.461000
2021100707	96.743300
2021100708	89.420700
2021100709	83.013400
2021100710	78.929600
2021100711	76.324400
2021100712	74.916200
2021100713	72.522300
2021100714	77.873500
2021100715	87.801300
2021100716	99.278100
2021100717	107.939000
2021100718	111.037000
2021100719	106.460000
2021100720	99.771000
2021100721	94.419800
2021100722	89.420700
2021100723	87.449200
2021100800	85.970600
2021100801	84.562400
2021100802	83.999100
2021100803	84.844100
2021100804	94.419800
2021100805	102.799000
2021100806	108.854000
2021100807	108.854000
2021100808	101.954000
2021100809	94.560600
2021100810	88.716600
2021100811	85.618600
2021100812	82.731700
2021100813	79.704100
2021100814	85.548200
2021100815	96.954600
2021100816	108.995000
2021100817	119.697000
2021100818	127.231000
2021100819	124.414000
2021100820	117.866000
2021100821	109.276000
2021100822	102.658000
2021100823	97.306600
2021100900	95.828000
2021100901	93.645300
2021100902	92.096300
2021100903	90.617700
2021100904	91.603400
2021100905	98.574000
2021100906	106.249000
2021100907	110.614000
2021100908	107.023000
2021100909	101.883000
2021100910	94.631000
2021100911	89.702300
2021100912	85.829800
2021100913	83.224600
2021100914	81.253100
2021100915	88.082900
2021100916	98.433200
2021100917	110.544000
2021100918	121.739000
2021100920	120.049000
2021100921	112.867000
2021100922	106.249000
2021100923	99.559700
2021101000	96.743300
2021101001	94.771900
2021101002	93.011600
2021101003	91.533000
2021101004	90.476800
2021101005	90.406400
2021101006	91.040100
2021101007	96.884200
2021101008	98.433200
2021101009	96.602500
2021101010	91.040100
2021101011	85.689000
2021101012	81.464400
2021101013	77.310200
2021101014	75.057100
2021101015	76.183600
2021101016	87.238000
2021101017	100.968000
2021101018	114.064000
2021101019	121.880000
2021101020	121.387000
2021101021	114.627000
2021101022	105.967000
2021101023	97.025000
2021101100	91.110500
2021101101	88.364500
2021101102	87.238000
2021101103	85.900200
2021101104	85.266500
2021101105	84.210400
2021101106	83.365400
2021101107	83.717500
2021101108	90.195200
2021101109	95.828000
2021101110	98.292400
2021101111	96.320900
2021101112	91.251400
2021101113	85.689000
2021101114	82.168500
2021101115	82.098100
2021101116	90.336000
2021101117	101.109000
2021101118	111.811000
2021101119	119.767000
2021101120	123.992000
2021101121	121.316000
2021101122	115.191000
2021101123	107.798000
2021101200	102.799000
2021101201	96.954600
2021101202	95.546400
2021101203	93.293300
2021101204	90.758500
2021101205	90.124800
2021101206	88.857400
2021101207	87.097200
2021101208	85.759400
2021101209	85.266500
2021101210	93.363700
2021101211	96.391300
2021101212	93.715700
2021101213	88.575800
2021101214	84.351200
2021101215	81.253100
2021101216	80.619400
2021101217	89.843200
2021101218	101.883000
2021101219	113.219000
2021101220	122.654000
2021101221	127.442000
2021101222	125.330000
2021101223	119.486000
2021101300	112.515000
2021101301	106.953000
2021101302	101.109000
2021101303	98.433200
2021101304	97.095400
2021101305	95.194300
2021101306	92.518700
2021101307	89.843200
2021101308	87.942100
2021101309	84.492000
2021101310	82.027600
2021101311	88.082900
2021101312	92.870800
2021101313	94.419800
