Time	WaterLevel_cm
2021031116	52.525900
2021031117	52.525900
2021031118	52.525900
2021031119	52.385000
2021031120	52.385000
2021031121	52.314600
2021031122	52.244200
2021031123	52.244200
2021031200	52.244200
2021031201	52.103400
2021031202	52.033000
2021031203	52.033000
2021031204	52.033000
2021031205	51.892200
2021031206	51.821800
2021031207	51.680900
2021031208	51.469700
2021031209	51.328900
2021031210	51.258500
2021031211	51.188100
2021031212	51.188100
2021031213	51.258500
2021031214	51.328900
2021031215	51.328900
2021031216	51.328900
2021031217	51.328900
2021031218	51.399300
2021031219	51.399300
2021031220	51.399300
2021031221	51.328900
2021031222	51.258500
2021031223	51.188100
2021031300	51.188100
2021031301	51.117700
2021031302	51.117700
2021031303	51.117700
2021031304	51.117700
2021031305	51.047300
2021031306	50.976800
2021031307	50.906400
2021031308	50.765600
2021031309	50.695200
2021031310	50.624800
2021031311	50.624800
2021031312	50.554400
2021031313	50.624800
2021031314	50.695200
2021031315	50.695200
2021031316	50.695200
2021031317	50.695200
2021031318	50.765600
2021031319	50.695200
2021031320	50.695200
2021031321	50.624800
2021031322	50.624800
2021031323	50.624800
2021031400	50.624800
2021031401	50.554400
2021031403	50.624800
2021031404	50.554400
2021031405	50.554400
2021031406	50.484000
2021031407	50.484000
2021031408	50.413600
2021031409	50.413600
2021031410	50.343100
2021031411	50.343100
2021031412	50.413600
2021031413	50.554400
2021031414	50.695200
2021031415	50.906400
2021031416	51.047300
2021031417	51.258500
2021031418	51.469700
2021031419	52.033000
2021031420	52.948300
2021031421	53.441200
2021031422	53.441200
2021031423	53.300400
2021031500	53.300400
2021031501	53.300400
2021031502	53.300400
2021031503	53.582000
2021031504	53.511600
2021031505	53.441200
2021031506	53.300400
2021031507	53.230000
2021031508	53.089100
2021031509	52.948300
2021031510	52.807500
2021031511	52.737100
2021031512	52.666700
2021031513	52.596300
2021031514	52.596300
2021031515	52.525900
2021031516	52.596300
2021031517	52.596300
2021031518	52.525900
2021031519	52.525900
2021031520	52.455500
2021031521	52.385000
2021031522	52.314600
2021031523	52.314600
2021031600	52.314600
2021031601	52.314600
2021031602	52.244200
2021031603	52.244200
2021031604	52.173800
2021031605	52.033000
2021031606	51.962600
2021031607	51.751400
2021031608	51.680900
2021031609	51.469700
2021031610	51.399300
2021031611	51.399300
2021031612	51.328900
2021031613	51.328900
2021031614	51.469700
2021031615	51.469700
2021031616	51.399300
2021031617	51.399300
2021031618	51.328900
2021031619	51.328900
2021031620	51.188100
2021031621	51.188100
2021031622	51.117700
2021031623	51.117700
2021031700	51.117700
2021031701	51.117700
2021031702	51.047300
2021031703	51.047300
2021031704	51.047300
2021031705	50.976800
2021031706	50.976800
2021031707	50.836000
2021031708	50.765600
2021031709	50.695200
2021031710	50.695200
2021031711	50.695200
2021031712	50.695200
2021031713	50.695200
2021031714	50.836000
2021031715	50.765600
2021031716	50.836000
2021031717	50.906400
2021031718	50.906400
2021031719	50.906400
2021031720	50.765600
2021031721	50.765600
2021031722	50.695200
2021031723	50.765600
2021031800	50.765600
2021031801	50.695200
2021031802	50.624800
2021031803	50.695200
2021031804	50.695200
2021031805	50.695200
2021031806	50.624800
2021031807	50.624800
2021031808	50.554400
2021031809	50.484000
2021031810	50.484000
2021031811	50.413600
2021031812	50.484000
2021031813	50.554400
2021031814	50.765600
2021031815	51.962600
2021031816	52.877900
2021031817	55.553500
2021031818	57.736200
2021031819	59.426000
2021031820	59.848500
2021031821	59.989300
2021031822	59.918900
2021031823	59.848500
2021031900	59.707700
2021031901	59.566900
2021031902	59.566900
2021031903	59.496500
2021031904	59.355600
2021031905	59.214800
2021031906	59.074000
2021031907	58.933200
2021031908	58.721900
2021031909	58.581100
2021031910	58.440300
2021031911	58.369900
2021031912	58.299500
2021031913	58.299500
2021031914	58.369900
2021031915	58.299500
2021031916	58.229100
2021031917	58.158700
2021031918	58.088200
2021031919	57.947400
2021031920	57.806600
2021031921	57.665800
2021031922	57.525000
2021031923	57.384100
2021032000	57.243300
2021032001	57.172900
2021032002	57.032100
2021032003	56.891300
2021032004	56.820900
2021032005	56.680100
2021032006	56.609600
2021032007	56.468800
2021032008	56.257600
2021032009	56.116800
2021032010	55.976000
2021032011	55.835100
2021032012	55.835100
2021032013	55.764700
2021032014	55.835100
2021032015	55.835100
2021032016	55.835100
2021032017	55.835100
2021032018	55.835100
2021032019	55.764700
2021032020	55.764700
2021032021	55.694300
2021032022	55.623900
2021032023	55.623900
2021032100	55.623900
2021032101	55.553500
2021032102	55.483100
2021032103	55.483100
2021032104	55.483100
2021032105	55.412700
2021032106	55.412700
2021032107	55.342300
2021032108	55.131000
2021032109	55.060600
2021032110	54.990200
2021032111	54.919800
2021032112	54.919800
2021032113	54.919800
2021032114	54.919800
2021032115	54.990200
2021032116	54.990200
2021032117	54.990200
2021032118	55.060600
2021032119	55.060600
2021032120	54.990200
2021032121	54.919800
2021032122	54.919800
2021032123	54.849400
2021032200	54.919800
2021032201	54.849400
2021032202	54.849400
2021032203	54.849400
2021032204	54.849400
2021032205	54.779000
2021032206	54.779000
2021032207	54.708600
2021032208	54.638200
2021032209	54.497300
2021032210	54.356500
2021032211	54.356500
2021032212	54.286100
2021032213	54.286100
2021032214	54.356500
2021032215	54.426900
2021032216	54.497300
2021032217	54.567700
2021032218	54.779000
2021032219	54.779000
2021032220	54.708600
2021032221	54.567700
2021032222	54.567700
2021032223	54.567700
2021032300	54.497300
2021032301	54.426900
2021032302	54.426900
2021032303	54.356500
2021032304	54.356500
2021032305	54.286100
2021032306	54.145300
2021032307	54.074900
2021032308	53.934100
2021032309	53.934100
2021032310	54.004500
2021032311	54.004500
2021032312	54.074900
2021032313	54.145300
2021032314	54.215700
2021032315	54.215700
2021032316	54.286100
2021032317	54.286100
2021032318	54.286100
2021032319	54.286100
2021032320	54.215700
2021032321	54.145300
2021032322	54.145300
2021032323	54.215700
2021032400	54.145300
2021032401	54.145300
2021032402	54.145300
2021032403	54.145300
2021032404	54.145300
2021032405	54.074900
2021032406	54.074900
2021032407	54.004500
2021032408	53.934100
2021032409	53.934100
2021032410	53.863600
2021032411	53.793200
2021032412	53.793200
2021032413	54.004500
2021032414	54.145300
2021032415	54.215700
2021032416	54.356500
2021032417	54.356500
2021032418	54.426900
2021032419	54.286100
2021032420	54.356500
2021032421	54.356500
2021032422	54.356500
2021032423	54.286100
2021032500	54.286100
2021032501	54.356500
2021032502	54.356500
2021032503	54.426900
2021032504	54.356500
2021032505	54.286100
2021032506	54.215700
2021032507	54.074900
2021032508	53.934100
2021032510	53.793200
2021032511	53.722800
2021032512	53.722800
2021032513	53.793200
2021032514	53.793200
2021032515	53.793200
2021032516	53.793200
2021032517	53.793200
2021032518	53.722800
2021032519	53.722800
2021032520	53.652400
2021032521	53.582000
2021032522	53.511600
2021032523	53.441200
2021032600	53.441200
2021032601	53.370800
2021032602	53.300400
2021032603	53.230000
2021032604	53.230000
2021032605	53.159500
2021032606	53.089100
2021032607	52.948300
2021032608	52.807500
2021032609	52.737100
2021032610	52.666700
2021032611	52.596300
2021032612	52.596300
2021032613	52.525900
2021032614	52.596300
2021032615	52.525900
2021032616	52.525900
2021032617	52.525900
2021032618	52.525900
2021032619	52.596300
2021032620	52.525900
2021032621	52.455500
2021032622	52.455500
2021032623	52.455500
2021032700	52.385000
2021032701	52.385000
2021032702	52.314600
2021032703	52.314600
2021032704	52.244200
2021032705	52.244200
2021032706	52.173800
2021032707	52.103400
2021032708	51.962600
2021032709	51.821800
2021032710	51.751400
2021032711	51.680900
2021032712	51.680900
2021032713	51.680900
2021032714	51.680900
2021032715	51.680900
2021032716	51.751400
2021032717	51.751400
2021032718	51.751400
2021032719	51.821800
2021032720	51.751400
2021032721	51.751400
2021032722	51.751400
2021032723	51.751400
2021032800	51.751400
2021032801	51.751400
2021032802	51.751400
2021032803	51.751400
2021032804	51.751400
2021032805	51.751400
2021032806	51.680900
2021032807	51.610500
2021032808	51.469700
2021032809	51.399300
2021032810	51.399300
2021032811	51.399300
2021032812	51.399300
2021032813	51.469700
2021032814	51.540100
2021032815	51.610500
2021032816	51.680900
2021032817	51.680900
2021032818	51.680900
2021032819	51.680900
2021032820	51.680900
2021032821	51.610500
2021032822	51.610500
2021032823	51.610500
2021032900	51.680900
2021032901	51.610500
2021032902	51.680900
2021032903	51.680900
2021032904	51.821800
2021032905	51.821800
2021032906	51.821800
2021032907	51.821800
2021032908	51.680900
2021032909	51.469700
2021032910	51.399300
2021032911	51.399300
2021032912	51.540100
2021032913	51.540100
2021032914	51.540100
2021032915	51.610500
2021032916	51.610500
2021032917	51.610500
2021032918	51.540100
2021032919	51.540100
2021032920	51.540100
2021032921	51.469700
2021032922	51.469700
2021032923	51.469700
2021033000	51.399300
2021033001	51.399300
2021033002	51.328900
2021033003	51.328900
2021033004	51.258500
2021033005	51.258500
2021033006	51.188100
2021033007	51.117700
2021033008	50.976800
2021033009	50.976800
2021033010	50.836000
2021033011	50.836000
2021033012	50.836000
2021033013	50.836000
2021033014	50.765600
2021033015	50.765600
2021033016	50.765600
2021033017	50.765600
2021033018	50.765600
2021033019	50.836000
2021033020	50.765600
2021033021	50.695200
2021033022	50.624800
2021033023	50.624800
2021033100	50.624800
2021033101	50.554400
2021033102	50.554400
2021033103	50.624800
2021033104	50.554400
2021033105	50.554400
2021033106	50.484000
2021033107	50.413600
2021033108	50.272700
2021033109	50.202300
2021033110	50.131900
2021033111	50.061500
2021033112	50.061500
2021033113	50.131900
2021033114	50.131900
2021033115	50.131900
2021033116	50.131900
2021033117	50.202300
2021033118	50.202300
2021033119	50.343100
2021033120	50.272700
2021033121	50.272700
2021033122	50.272700
2021033123	50.272700
2021040100	50.202300
2021040101	50.272700
2021040102	50.272700
2021040103	50.343100
2021040104	50.343100
2021040105	50.343100
2021040106	50.272700
2021040107	50.202300
2021040108	50.061500
2021040109	49.991100
2021040110	49.920700
2021040111	49.920700
2021040112	49.920700
2021040113	49.920700
2021040114	49.920700
2021040115	49.920700
2021040116	49.991100
2021040117	49.991100
2021040118	49.991100
2021040119	50.061500
2021040120	49.991100
2021040121	49.991100
2021040122	49.920700
2021040123	49.920700
2021040200	49.850300
2021040201	49.850300
2021040202	49.850300
2021040203	49.850300
2021040204	49.850300
2021040205	49.779900
2021040206	49.709500
2021040207	49.639000
2021040208	49.568600
2021040209	49.427800
2021040210	49.357400
2021040211	49.287000
2021040212	49.287000
2021040213	49.216600
2021040214	49.216600
2021040215	49.216600
2021040216	49.287000
2021040217	49.287000
2021040218	49.287000
2021040219	49.216600
2021040220	49.216600
2021040221	49.216600
2021040222	49.146200
2021040223	49.146200
2021040300	49.146200
2021040301	49.075800
2021040302	49.075800
2021040303	49.075800
2021040304	49.075800
2021040305	49.005400
2021040306	49.005400
2021040307	48.934900
2021040308	48.864500
2021040309	48.794100
2021040310	48.723700
2021040311	48.723700
2021040312	48.653300
2021040313	48.723700
2021040314	48.723700
2021040315	48.653300
2021040316	48.723700
2021040317	48.723700
2021040318	48.723700
2021040319	48.653300
2021040320	48.653300
2021040321	48.653300
2021040322	48.582900
2021040323	48.582900
2021040400	48.582900
2021040401	48.582900
2021040402	48.582900
2021040403	48.582900
2021040404	48.582900
2021040405	48.582900
2021040406	48.582900
2021040407	48.512500
2021040408	48.442100
2021040409	48.442100
2021040410	48.371700
2021040411	48.371700
2021040412	48.371700
2021040413	48.442100
2021040414	48.442100
2021040415	48.512500
2021040416	48.512500
2021040417	48.512500
2021040418	48.512500
2021040419	48.512500
2021040420	48.512500
2021040421	48.512500
2021040422	48.512500
2021040423	48.512500
2021040500	48.512500
2021040501	48.512500
2021040502	48.582900
2021040503	48.512500
2021040504	48.442100
2021040505	48.442100
2021040506	48.442100
2021040507	48.371700
2021040508	48.301300
2021040509	48.230900
2021040510	48.230900
2021040511	48.230900
2021040512	48.230900
2021040513	48.230900
2021040514	48.230900
2021040515	48.301300
2021040516	48.301300
2021040517	48.371700
2021040518	48.301300
2021040519	48.301300
2021040520	48.230900
2021040521	48.230900
2021040522	48.230900
2021040523	48.230900
2021040600	48.160400
2021040601	48.160400
