Time	WaterLevel_cm
2012042413	21.052600
2012042414	21.123000
2012042415	21.123000
2012042416	21.193400
2012042417	21.193400
2012042418	21.263800
2012042419	21.263800
2012042420	21.263800
2012042421	21.263800
2012042422	21.263800
2012042423	21.263800
2012042500	21.263800
2012042501	21.263800
2012042502	21.263800
2012042503	21.263800
2012042504	21.263800
2012042505	21.263800
2012042506	21.263800
2012042507	21.334200
2012042508	21.334200
2012042509	21.263800
2012042510	21.263800
2012042511	21.263800
2012042512	21.263800
2012042513	21.193400
2012042514	21.123000
2012042515	21.052600
2012042516	20.982200
2012042517	20.911800
2012042518	20.841400
2012042519	20.841400
2012042520	21.334200
2012042521	21.404600
2012042522	21.404600
2012042523	21.334200
2012042600	21.263800
2012042601	21.193400
2012042602	21.052600
2012042603	20.911800
2012042604	20.841400
2012042605	20.700500
2012042606	20.630100
2012042607	20.559700
2012042608	20.489300
2012042609	20.418900
2012042610	20.278100
2012042611	20.207700
2012042612	20.066800
2012042613	19.926000
2012042614	19.855600
2012042615	19.644400
2012042616	19.503600
2012042617	19.362800
2012042618	19.221900
2012042619	19.081100
2012042620	18.940300
2012042621	18.940300
2012042622	18.799500
2012042623	18.729100
2012042700	18.658600
2012042701	18.658600
2012042702	18.588200
2012042703	18.517800
2012042704	18.447400
2012042705	18.377000
2012042706	18.306600
2012042707	18.236200
2012042708	18.236200
2012042709	18.165800
2012042710	18.095400
2012042711	18.025000
2012042712	17.954500
2012042713	17.884100
2012042714	17.813700
2012042715	17.672900
2012042716	17.602500
2012042717	17.461700
2012042718	17.391300
2012042719	17.250500
2012042720	17.180000
2012042721	17.039200
2012042722	16.968800
2012042723	16.898400
2012042800	16.828000
2012042801	16.757600
2012042802	16.687200
2012042803	16.616800
2012042804	16.546300
2012042805	16.475900
2012042806	16.405500
2012042807	16.335100
2012042808	16.264700
2012042809	16.194300
2012042810	16.123900
2012042811	16.053500
2012042812	16.053500
2012042813	15.983100
2012042814	15.912700
2012042815	15.842200
2012042816	15.771800
2012042817	15.631000
2012042818	15.560600
2012042819	15.419800
2012042820	15.349400
2012042821	15.279000
2012042822	15.138200
2012042823	15.067700
2012042900	14.926900
2012042901	14.856500
2012042902	14.786100
2012042903	14.645300
2012042904	14.574900
2012042905	14.504500
2012042906	14.363600
2012042907	14.293200
2012042908	14.152400
2012042909	14.082000
2012042910	13.941200
2012042911	13.870800
2012042912	13.729900
2012042913	13.659500
2012042914	13.518700
2012042915	13.448300
2012042916	13.377900
2012042917	13.237100
2012042918	13.166700
2012042919	13.025900
2012042920	12.955400
2012042921	12.885000
2012042922	12.744200
2012042923	12.673800
2012043000	12.533000
2012043001	12.392200
2012043002	12.251300
2012043003	12.180900
2012043004	12.040100
2012043005	11.899300
2012043006	11.828900
2012043007	11.758500
2012043008	11.617700
2012043009	11.547200
2012043010	11.406400
2012043011	11.265600
2012043012	11.195200
2012043013	11.124800
2012043014	10.984000
2012043015	10.843100
2012043016	10.772700
2012043017	10.631900
2012043018	10.491100
2012043019	10.420700
2012043020	10.279900
2012043021	10.139000
2012043022	9.998220
2012043023	9.857400
2012050100	9.786990
2012050101	9.646170
2012050102	9.575760
2012050103	9.434940
2012050104	9.294120
2012050105	9.223710
2012050106	9.082890
2012050107	8.942070
2012050108	8.871660
2012050109	8.730840
2012050110	8.590020
2012050111	8.519610
2012050112	8.378790
2012050113	8.237970
2012050114	8.097150
2012050115	7.956330
2012050116	7.885920
2012050117	7.674690
2012050118	7.533870
2012050119	7.393050
2012050120	7.252230
2012050121	7.111410
2012050122	6.970590
2012050123	6.829770
2012050200	6.759360
2012050201	6.618540
2012050202	6.477720
2012050203	6.336900
2012050204	6.196080
2012050205	6.055260
2012050206	5.914440
2012050207	5.773620
